22	600188	兖州煤业 点评	煤炭采选	14.72	1.31%	436	8	2.29	9.12	1943	.04	.02	22.84	-1.1	3.3	1	1	1	2.3	-2.1	-1.2	127	1.35	12.2	11.2	52.9	50.6	14.9	17.0	20.0	21.2	1.35	1.23
23	600036	招商银行 点评	金融服务	28.94	1.30%	5970	8	.7	1.08	7642	.01	0	22.76	19.56	6.3	1	1	2.4	3.9	-1.6	-4.7	147	1.25	25.1	22.7	51.6	47.7	11.9	13.5	11.4	16.1	0.20	1.22
24	600690	青岛海尔 点评	电气机械	20.63	1.28%	1258	16	4.24	9.56	1107	.01	0	-.34	16.51	1.2	5	1	-.2	1.4	-.9	-0.3	141	0.98	17.0	17.2	54.3	52.9	12.0	12.9	16.7	17.0	0.74	0.86
25	002142	宁波银行 点评	金融服务	17.60	1.27%	790	8	-12.7	2.39	698	.01	.01	4.26	16.65	2.2	6	1	2.6	-.4	-.6	-1.6	90	1.05	6.9	4.3	39.3	39.7	21.5	22.1	32.3	33.9	0.40	1.72
26	601117	中国化学 点评	土木工程	7.34	1.24%	362	23	8.1	12.92	1854	.05	0	11.72	-10.28	11.7	4	1	1.1	10.6	-19.1	7.4	88	1.00	2.9	1.8	47.0	36.4	18.5	37.6	31.6	24.2	0.44	1.23
27	601933	永辉超市 点评	零售业	8.35	1.21%	679	26	-19.63	-14.62	2571	.04	0	4.95	-4.53	6.2	6	1	.9	5.3	-5.3	-0.9	129	0.98	16.3	15.4	51.2	45.9	13.5	18.8	19.0	19.9	0.62	0.74
28	002202	金风科技 点评	通用设备	14.76	1.17%	414	59	-1.47	-19.78	-743	-.02	0	-7.19	15.66	-4.8	0	0	.2	-5	-1.1	5.9	63	0.93	0.2	0.0	28.7	33.7	23.5	24.6	47.6	41.7	0.37	0.91
29	600482	中国动力 点评	运输设备	17.55	1.15%	160	37	-29.63	-33.97	-1382	-.09	-.21	-24.98	9.2	-7.9	6	0	-1	-6.9	-4.6	12.5	81	0.67	2.1	3.1	34.6	41.5	23.5	28.1	39.8	27.3	1.09	1.72
30	601088	中国神华 点评	煤炭采选	21.19	1.05%	3494	9	.28	-4.03	1912	0	0	18.77	5.02	3.1	1	1	5.9	-2.8	-.9	-2.2	142	1.24	26.8	20.9	45.9	48.7	13.1	14.0	14.2	16.4	0.18	1.25
31	601166	XD兴业银 点评	金融服务	15.42	1.05%	2938	5	-14.71	-10.35	2103	.01	-.02	-12.63	12.57	2	7	2	-.6	2.6	-3.8	1.8	143	0.82	30.1	30.7	42.5	39.9	11.7	15.5	15.7	13.9	0.36	1.46
